id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
13024,Passo Fundo,,1695049479,1696614501,43,25,0,0,0,0,2,4609.5000,4609.5000,NULL,18,3,6.4211,NULL,NULL,3,1,1,3,68,60,46,12,0,0.920000000,0.1538,0.1538,2,61,0.9000000000000,0,NULL,NULL
13025,Passo Fundo,,1695094601,1698634910,42,1,0,0,0,0,2,35061.5000,35061.5000,NULL,41,23,14.9286,54.7619,27.2609,23,6,1,22,80,58,45,12,0,0.986111111,0.3250,0.2250,13,50,0.9855769230769,0,NULL,NULL
13026,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13027,Passo Fundo,,1696065507,1696069913,31,31,0,0,0,0,2,1434.0000,1434.0000,NULL,0,1,105.0000,NULL,NULL,1,1,1,7,55,60,50,6,1,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
13028,Passo Fundo,,1695402754,1697049211,39,20,0,0,0,0,2,554.5000,554.5000,NULL,26,4,6.8519,NULL,NULL,4,2,1,8,27,6,2,1,0,1.000000000,0.4286,0.1429,6,57,1.0000000000000,0,NULL,NULL
13029,Passo Fundo,,1696091990,1698787066,31,0,0,0,0,0,11,1627.4545,1627.4545,97.353951890,31,17,19.7188,53.1250,37.1176,17,8,8,35,295,83,74,5,1,0.985532505,1.1935,0.4839,37,26,0.9798628108108,33,2.3571,5.5000
13030,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13031,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13032,Passo Fundo,,1695043382,1698499214,43,3,0,0,0,0,14,23854.5000,23854.5000,95.552560646,40,10,19.6341,NULL,NULL,10,7,7,55,314,89,81,5,1,0.976819136,1.4333,0.2667,43,20,0.9818107596899,63,2.3333,10.5000
13033,Passo Fundo,,1695329648,1697654619,40,13,0,0,0,0,2,4610.0000,4610.0000,NULL,27,2,2.5714,NULL,NULL,2,0,1,0,50,58,54,3,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
