id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
10735,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11099,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11100,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11101,Passo Fundo,,1691607939,1691608000,33,33,0,0,0,0,0,NULL,NULL,NULL,0,1,5.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11102,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11229,Passo Fundo,,1692131960,1693350510,27,13,0,0,0,0,2,225979.5000,225979.5000,NULL,14,6,7.4667,NULL,NULL,6,0,3,0,60,59,45,11,1,1.000000000,0.3333,0.3333,2,61,1.0000000000000,0,NULL,NULL
11656,Passo Fundo,,1692192492,1692192651,26,26,0,0,0,0,0,NULL,NULL,NULL,7,3,1.0000,NULL,NULL,3,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11657,Passo Fundo,,1693183407,1694374999,15,1,0,0,0,0,2,902.0000,902.0000,NULL,18,6,15.3158,NULL,NULL,6,4,2,22,43,60,47,9,1,0.984006741,0.9286,0.3571,13,50,0.9833916153846,0,NULL,NULL
11658,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11659,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11736,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11913,Passo Fundo,,1693172957,1693280415,15,13,0,0,0,0,3,32156.0000,32156.0000,NULL,2,3,34.0000,NULL,NULL,3,1,3,1,70,58,51,4,1,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
11914,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11915,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11916,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11917,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11918,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11919,Passo Fundo,,1692391113,1692391646,24,24,0,0,0,0,0,NULL,NULL,NULL,0,1,6.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
11920,Passo Fundo,,1692388682,1692388825,24,24,0,0,0,0,0,NULL,NULL,NULL,0,1,4.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12109,,,1692624634,1693574329,21,10,0,0,0,0,0,NULL,NULL,NULL,11,4,2.6667,NULL,NULL,4,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12110,,,1692624817,1692624893,21,21,0,0,0,0,0,NULL,NULL,NULL,0,1,5.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12168,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12169,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12170,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12171,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12172,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12173,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12174,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12175,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12176,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12177,Passo Fundo,,1692714277,1694181750,20,3,0,0,0,0,2,2713.5000,2713.5000,NULL,17,9,10.5556,NULL,NULL,9,2,1,9,55,60,47,9,1,1.000000000,0.4615,0.1538,6,57,1.0000000000000,0,NULL,NULL
12178,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12179,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
12180,Passo Fundo,,1692947641,1692949379,17,17,0,0,0,0,1,79.0000,79.0000,NULL,0,1,50.0000,NULL,NULL,1,0,1,0,36,43,1,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
12181,Passo Fundo,,0,0,19612,19612,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
